Type,Runtime,Location,Date
Container,  0.003003,MA,2020-01-16
API,  0.224885,MA,2020-01-16
Container,  0.004001,MA,2020-01-16
API,  0.202815,MA,2020-01-16
Container,  0.003997,MA,2020-01-16
API, 15.228971,MA,2020-01-16
Container,  0.004000,MA,2020-01-16
API,  0.240658,MA,2020-01-16
Container,  0.004001,MA,2020-01-16
API,  0.235967,MA,2020-01-16
Container,  0.004013,MA,2020-01-16
API,  0.229347,MA,2020-01-16
Container,  0.002986,MA,2020-01-16
API,  0.368462,MA,2020-01-16
Container,  0.004001,MA,2020-01-16
API,  0.212608,MA,2020-01-16
Container,  0.004000,MA,2020-01-16
API,  0.206292,MA,2020-01-16
Container,  0.003999,MA,2020-01-16
API,  0.208842,MA,2020-01-16
Container,  0.003002,MA,2020-01-16
API,  0.217003,MA,2020-01-16
Container,  0.003997,MA,2020-01-16
API,  0.239800,MA,2020-01-16
Container,  0.004000,MA,2020-01-16
API,  0.215657,MA,2020-01-16
Container,  0.006001,MA,2020-01-16
API,  0.254559,MA,2020-01-16
Container,  0.004007,MA,2020-01-16
API,  0.218411,MA,2020-01-16
Container,  0.003992,MA,2020-01-16
API,  0.197105,MA,2020-01-16
Container,  0.004000,MA,2020-01-16
API,  0.313775,MA,2020-01-16
Container,  0.003003,MA,2020-01-16
API,  0.241916,MA,2020-01-16
Container,  0.003999,MA,2020-01-16
API,  0.214516,MA,2020-01-16
Container,  0.003998,MA,2020-01-16
API,  0.221739,MA,2020-01-16
Container,  0.003001,MA,2020-01-16
API,  0.214986,MA,2020-01-16
Container,  0.004000,MA,2020-01-16
API,  0.431194,MA,2020-01-16
Container,  0.003998,MA,2020-01-16
API,  0.209970,MA,2020-01-16
Container,  0.003002,MA,2020-01-16
API,  0.229214,MA,2020-01-16
Container,  0.003000,MA,2020-01-16
API,  0.233335,MA,2020-01-16
Container,  0.003997,MA,2020-01-16
API,  0.229476,MA,2020-01-16
Container,  0.003001,MA,2020-01-16
API,  0.301761,MA,2020-01-16
Container,  0.004003,MA,2020-01-16
API,  0.241836,MA,2020-01-16
Container,  0.003996,MA,2020-01-16
API,  0.328633,MA,2020-01-16
Container,  0.003002,MA,2020-01-16
API,  0.243162,MA,2020-01-16
Container,  0.003998,MA,2020-01-16
API,  0.214557,MA,2020-01-16
Container,  0.004000,MA,2020-01-16
API,  0.238073,MA,2020-01-16
Container,  0.003002,MA,2020-01-16
API,  0.236639,MA,2020-01-16
Container,  0.004000,MA,2020-01-16
API,  0.230475,MA,2020-01-16
Container,  0.003998,MA,2020-01-16
API,  0.220333,MA,2020-01-16
Container,  0.003002,MA,2020-01-16
API,  0.439666,MA,2020-01-16
Container,  0.002992,MA,2020-01-16
API,  0.241620,MA,2020-01-16
Container,  0.003999,MA,2020-01-16
API,  0.222368,MA,2020-01-16
Container,  0.003998,MA,2020-01-16
API,  0.221325,MA,2020-01-16
Container,  0.004031,MA,2020-01-16
API,  0.300533,MA,2020-01-16
Container,  0.003970,MA,2020-01-16
API,  0.215454,MA,2020-01-16
Container,  0.003003,MA,2020-01-16
API,  0.259576,MA,2020-01-16
Container,  0.004004,MA,2020-01-16
API,  0.321043,MA,2020-01-16
Container,  0.003993,MA,2020-01-16
API,  0.256927,MA,2020-01-16
Container,  0.003002,MA,2020-01-16
API,  0.238729,MA,2020-01-16
Container,  0.003997,MA,2020-01-16
API,  0.245900,MA,2020-01-16
Container,  0.005003,MA,2020-01-16
API,  0.218484,MA,2020-01-16
Container,  0.004997,MA,2020-01-16
API,  0.230898,MA,2020-01-16
Container,  0.004000,MA,2020-01-16
API,  0.223298,MA,2020-01-16
Container,  0.004000,MA,2020-01-16
API,  0.240354,MA,2020-01-16
Container,  0.003004,MA,2020-01-16
API,  0.208847,MA,2020-01-16
Container,  0.003996,MA,2020-01-16
API,  0.243002,MA,2020-01-16
Container,  0.004028,MA,2020-01-16
API,  0.235036,MA,2020-01-16
Container,  0.003973,MA,2020-01-16
API,  0.248038,MA,2020-01-16
Container,  0.003004,MA,2020-01-16
API,  0.326078,MA,2020-01-16
Container,  0.003996,MA,2020-01-16
API,  0.255933,MA,2020-01-16
Container,  0.003999,MA,2020-01-16
API,  0.229261,MA,2020-01-16
Container,  0.004000,MA,2020-01-16
API,  0.203704,MA,2020-01-16
Container,  0.003003,MA,2020-01-16
API,  0.242059,MA,2020-01-16
Container,  0.007047,MA,2020-01-16
API,  0.197195,MA,2020-01-16
Container,  0.003000,MA,2020-01-16
API,  0.236793,MA,2020-01-16
Container,  0.003999,MA,2020-01-16
API,  0.415274,MA,2020-01-16
Container,  0.004001,MA,2020-01-16
API,  0.214767,MA,2020-01-16
Container,  0.003003,MA,2020-01-16
API,  0.238934,MA,2020-01-16
Container,  0.003997,MA,2020-01-16
API,  0.227476,MA,2020-01-16
Container,  0.003001,MA,2020-01-16
API,  0.235350,MA,2020-01-16
Container,  0.003998,MA,2020-01-16
API,  0.308590,MA,2020-01-16
Container,  0.004001,MA,2020-01-16
API,  0.233367,MA,2020-01-16
